id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
9,420,420,461,S2,S3,Blue,0
14,420,420,461,S2,S3,Blue,0
2,420,420,458,S3,S2,Red,0
8,420,420,458,S3,S2,Red,0
13,420,420,458,S3,S2,Red,0
16,420,420,458,S3,S2,Red,0
21,420,420,458,S3,S2,Red,0
30,420,420,458,S3,S2,Red,0
32,420,420,458,S3,S2,Red,0
26,420,424,479,S2,S1,Red,0
43,420,424,479,S2,S1,Red,0
34,420,420,458,S3,S1,Red,0
3,420,424,479,S2,S3,Red,0
5,420,424,479,S2,S3,Red,0
12,420,424,479,S2,S3,Red,0
15,420,424,479,S2,S3,Red,0
44,420,424,479,S2,S3,Red,0
7,420,434,494,S1,S3,Red,0
10,420,434,494,S1,S3,Red,0
18,420,434,494,S1,S3,Red,0
25,420,434,494,S1,S3,Red,0
31,420,434,494,S1,S3,Red,0
33,420,434,494,S1,S3,Red,0
42,420,434,494,S1,S3,Red,0
46,420,434,494,S1,S3,Red,0
52,424,434,494,S1,S3,Red,0
54,424,434,494,S1,S3,Red,0
60,424,434,494,S1,S3,Red,0
73,429,434,494,S1,S3,Red,0
6,420,426,474,S3,S1,Blue,0
17,420,426,474,S3,S1,Blue,0
22,420,426,474,S3,S1,Blue,0
23,420,426,474,S3,S1,Blue,0
35,420,426,474,S3,S1,Blue,0
36,420,426,474,S3,S1,Blue,0
48,420,426,474,S3,S1,Blue,0
56,424,426,474,S3,S1,Blue,0
2,420,420,458,S3,S2,Red,0
8,420,420,458,S3,S2,Red,0
13,420,420,458,S3,S2,Red,0
16,420,420,458,S3,S2,Red,0
21,420,420,458,S3,S2,Red,0
30,420,420,458,S3,S2,Red,0
32,420,420,458,S3,S2,Red,0
34,420,420,458,S3,S1,Red,0
53,424,429,471,S2,S3,Red,0
63,426,429,471,S2,S3,Red,0
64,426,429,471,S2,S3,Red,0
84,434,441,483,S1,S3,Red,0
85,434,441,483,S1,S3,Red,0
86,434,441,483,S1,S3,Red,0
9,420,420,461,S2,S3,Blue,0
14,420,420,461,S2,S3,Blue,0
1,420,426,474,S3,S2,Blue,0
4,420,426,474,S3,S2,Blue,0
24,420,426,474,S3,S2,Blue,0
27,420,426,474,S3,S2,Blue,0
38,420,426,474,S3,S2,Blue,0
39,420,426,474,S3,S2,Blue,0
40,420,426,474,S3,S2,Blue,0
45,420,426,474,S3,S2,Blue,0
19,420,446,513,S1,S2,Blue,0
28,420,446,513,S1,S2,Blue,0
50,420,446,513,S1,S2,Blue,0
59,424,446,513,S1,S2,Blue,0
53,424,429,471,S2,S3,Red,0
63,426,429,471,S2,S3,Red,0
64,426,429,471,S2,S3,Red,0
107,446,458,498,S3,S2,Red,0
114,446,458,498,S3,S2,Red,0
1,420,426,474,S3,S2,Blue,0
4,420,426,474,S3,S2,Blue,0
6,420,426,474,S3,S1,Blue,0
17,420,426,474,S3,S1,Blue,0
22,420,426,474,S3,S1,Blue,0
23,420,426,474,S3,S1,Blue,0
24,420,426,474,S3,S2,Blue,0
27,420,426,474,S3,S2,Blue,0
35,420,426,474,S3,S1,Blue,0
36,420,426,474,S3,S1,Blue,0
38,420,426,474,S3,S2,Blue,0
39,420,426,474,S3,S2,Blue,0
40,420,426,474,S3,S2,Blue,0
45,420,426,474,S3,S2,Blue,0
48,420,426,474,S3,S1,Blue,0
56,424,426,474,S3,S1,Blue,0
11,420,446,513,S1,S3,Blue,0
20,420,446,513,S1,S3,Blue,0
29,420,446,513,S1,S3,Blue,0
37,420,446,513,S1,S3,Blue,0
47,420,446,513,S1,S3,Blue,0
49,420,446,513,S1,S3,Blue,0
75,429,446,513,S1,S3,Blue,0
79,429,446,513,S1,S3,Blue,0
58,424,461,537,S2,S3,Blue,0
112,446,461,537,S2,S3,Blue,0
116,446,461,537,S2,S3,Blue,0
124,458,461,537,S2,S3,Blue,0
3,420,424,479,S2,S3,Red,0
5,420,424,479,S2,S3,Red,0
12,420,424,479,S2,S3,Red,0
15,420,424,479,S2,S3,Red,0
26,420,424,479,S2,S1,Red,0
43,420,424,479,S2,S1,Red,0
44,420,424,479,S2,S3,Red,0
55,424,434,494,S1,S2,Red,0
57,424,446,517,S3,S2,Red,0
62,426,446,517,S3,S2,Red,0
68,426,446,517,S3,S2,Red,0
77,429,446,517,S3,S2,Red,0
78,429,446,517,S3,S2,Red,0
81,434,446,517,S3,S2,Red,0
91,441,446,517,S3,S2,Red,0
92,441,446,517,S3,S2,Red,0
100,441,446,517,S3,S2,Red,0
84,434,441,483,S1,S3,Red,0
85,434,441,483,S1,S3,Red,0
86,434,441,483,S1,S3,Red,0
103,446,458,498,S3,S1,Red,0
106,446,458,498,S3,S1,Red,0
109,446,458,498,S3,S1,Red,0
111,446,458,498,S3,S1,Red,0
115,446,458,498,S3,S1,Red,0
108,446,471,515,S2,S1,Red,0
113,446,471,515,S2,S1,Red,0
119,446,471,515,S2,S1,Red,0
7,420,434,494,S1,S3,Red,0
10,420,434,494,S1,S3,Red,0
18,420,434,494,S1,S3,Red,0
25,420,434,494,S1,S3,Red,0
31,420,434,494,S1,S3,Red,0
33,420,434,494,S1,S3,Red,0
42,420,434,494,S1,S3,Red,0
46,420,434,494,S1,S3,Red,0
52,424,434,494,S1,S3,Red,0
54,424,434,494,S1,S3,Red,0
55,424,434,494,S1,S2,Red,0
60,424,434,494,S1,S3,Red,0
73,429,434,494,S1,S3,Red,0
51,424,446,517,S3,S1,Red,0
65,426,446,517,S3,S1,Red,0
69,426,446,517,S3,S1,Red,0
80,429,446,517,S3,S1,Red,0
82,434,446,517,S3,S1,Red,0
90,434,446,517,S3,S1,Red,0
97,441,446,517,S3,S1,Red,0
98,441,446,517,S3,S1,Red,0
150,471,479,532,S2,S1,Red,0
151,474,479,532,S2,S1,Red,0
103,446,458,498,S3,S1,Red,0
106,446,458,498,S3,S1,Red,0
107,446,458,498,S3,S2,Red,0
109,446,458,498,S3,S1,Red,0
111,446,458,498,S3,S1,Red,0
114,446,458,498,S3,S2,Red,0
115,446,458,498,S3,S1,Red,0
72,429,471,515,S2,S3,Red,0
89,434,471,515,S2,S3,Red,0
121,458,471,515,S2,S3,Red,0
133,461,471,515,S2,S3,Red,0
95,441,483,540,S1,S3,Red,0
101,446,483,540,S1,S3,Red,0
105,446,483,540,S1,S3,Red,0
149,471,483,540,S1,S3,Red,0
152,474,483,540,S1,S3,Red,0
157,474,483,540,S1,S3,Red,0
159,474,483,540,S1,S3,Red,0
161,479,483,540,S1,S3,Red,0
