id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
74,420,420,429,S9,S10,Blue,1
121,420,420,429,S9,S10,Blue,1
86,420,541,667,S2,S3,Blue,1
87,420,541,667,S2,S3,Blue,1
99,420,426,434,S7,S8,Blue,1
112,420,426,435,S16,S17,Blue,1
105,420,541,667,S2,S5,Blue,1
8,420,432,439,S3,S5,Blue,1
131,420,420,440,S6,S9,Blue,1
11,420,434,440,S8,S9,Blue,1
70,420,426,447,S7,S10,Blue,1
1,420,434,447,S8,S10,Blue,1
12,420,420,449,S9,S13,Blue,1
166,420,420,449,S9,S13,Blue,1
118,420,429,449,S10,S13,Blue,1
39,420,541,667,S2,S7,Blue,1
64,420,541,667,S2,S7,Blue,1
103,420,541,667,S2,S7,Blue,1
56,420,432,450,S3,S7,Blue,1
95,420,420,455,S9,S14,Blue,1
61,420,429,455,S10,S14,Blue,1
19,420,449,455,S13,S14,Blue,1
43,420,439,457,S5,S8,Blue,1
164,420,447,459,S10,S12,Blue,1
92,420,541,667,S2,S9,Blue,1
32,420,458,581,S15,S2,Blue,2
3,420,458,581,S16,S2,Blue,2
44,420,458,581,S16,S2,Blue,2
72,420,458,581,S16,S2,Blue,2
82,420,458,581,S16,S2,Blue,2
15,420,541,667,S2,S10,Blue,1
50,420,541,667,S2,S10,Blue,1
91,420,426,470,S7,S14,Blue,1
172,420,440,470,S9,S14,Blue,1
136,420,420,472,S9,S17,Blue,1
14,420,429,472,S10,S17,Blue,1
7,420,541,667,S2,S11,Blue,1
17,420,541,667,S2,S11,Blue,1
224,426,588,712,S2,S3,Blue,1
51,420,541,667,S2,S12,Blue,1
135,420,588,712,S2,S5,Blue,1
158,420,588,712,S2,S5,Blue,1
108,420,420,483,S6,S16,Blue,1
5,420,541,667,S2,S13,Blue,1
26,420,426,488,S7,S17,Blue,1
31,420,426,488,S7,S17,Blue,1
36,420,470,488,S14,S17,Blue,1
130,420,588,712,S2,S6,Blue,1
9,420,541,667,S2,S14,Blue,1
27,420,541,667,S2,S14,Blue,1
29,420,541,667,S2,S14,Blue,1
75,420,541,667,S2,S14,Blue,1
69,420,439,492,S5,S14,Blue,1
223,426,450,492,S7,S14,Blue,1
226,426,588,712,S2,S7,Blue,1
122,420,588,712,S2,S8,Blue,1
142,420,588,712,S2,S8,Blue,1
145,420,588,712,S2,S8,Blue,1
195,420,588,712,S2,S8,Blue,1
47,420,499,625,S9,S2,Blue,2
148,420,499,625,S9,S2,Blue,2
167,420,499,625,S9,S2,Blue,2
45,420,499,625,S10,S2,Blue,2
65,420,499,625,S17,S2,Blue,2
239,429,450,507,S7,S16,Blue,1
68,420,457,507,S8,S16,Blue,1
175,420,468,507,S10,S16,Blue,1
153,420,588,712,S2,S9,Blue,1
204,420,588,712,S2,S9,Blue,1
218,426,588,712,S2,S9,Blue,1
30,420,541,667,S2,S17,Blue,1
54,420,541,667,S2,S17,Blue,1
94,420,541,667,S2,S17,Blue,1
49,420,492,513,S14,S17,Blue,1
193,420,588,712,S2,S10,Blue,1
233,429,588,712,S2,S10,Blue,1
90,420,501,515,S8,S10,Blue,1
247,432,632,760,S2,S3,Blue,1
252,434,632,760,S2,S3,Blue,1
298,439,632,760,S2,S3,Blue,1
351,450,632,760,S2,S3,Blue,1
353,450,632,760,S2,S3,Blue,1
173,420,588,712,S2,S11,Blue,1
67,420,515,644,S6,S2,Blue,2
96,420,515,644,S6,S2,Blue,2
97,420,515,644,S7,S2,Blue,2
115,420,515,644,S7,S2,Blue,2
38,420,515,644,S8,S2,Blue,2
2,420,515,644,S12,S2,Blue,2
187,420,515,644,S17,S2,Blue,2
139,420,588,712,S2,S12,Blue,1
261,435,508,527,S9,S12,Blue,1
241,432,632,760,S2,S5,Blue,1
243,432,632,760,S2,S5,Blue,1
266,435,632,760,S2,S5,Blue,1
268,435,632,760,S2,S5,Blue,1
289,437,632,760,S2,S5,Blue,1
387,457,652,775,S2,S3,Blue,1
397,458,652,775,S2,S3,Blue,1
460,467,652,775,S2,S3,Blue,1
469,468,652,775,S2,S3,Blue,1
294,439,632,760,S2,S6,Blue,1
98,420,519,538,S3,S6,Blue,1
116,420,588,712,S2,S14,Blue,1
176,420,588,712,S2,S14,Blue,1
179,420,588,712,S2,S14,Blue,1
225,426,588,712,S2,S14,Blue,1
107,420,483,539,S5,S14,Blue,1
104,420,521,539,S11,S14,Blue,1
366,453,652,775,S2,S4,Blue,1
411,462,652,775,S2,S4,Blue,1
435,463,652,775,S2,S4,Blue,1
273,436,632,760,S2,S7,Blue,1
280,436,632,760,S2,S7,Blue,1
284,437,632,760,S2,S7,Blue,1
222,426,537,546,S3,S5,Blue,1
257,434,632,760,S2,S8,Blue,1
384,457,652,775,S2,S6,Blue,1
62,420,477,554,S3,S16,Blue,1
207,420,491,554,S6,S16,Blue,1
88,420,501,554,S8,S16,Blue,1
