id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
16,420,420,425,S7,S8,Red,1
46,420,420,434,S7,S9,Red,1
19,420,425,434,S8,S9,Red,1
70,420,425,434,S8,S9,Red,1
146,420,425,434,S8,S9,Red,1
24,420,420,440,S6,S9,Red,1
54,420,420,440,S6,S9,Red,1
82,420,425,441,S8,S10,Red,1
107,420,420,441,S5,S7,Red,1
143,420,420,441,S5,S7,Red,1
2,420,420,445,S9,S13,Red,1
77,420,420,445,S9,S13,Red,1
239,433,441,446,S7,S8,Red,1
18,420,420,446,S6,S10,Red,1
128,420,420,451,S9,S14,Red,1
71,420,420,454,S5,S9,Red,1
121,420,420,454,S5,S9,Red,1
264,436,441,454,S7,S9,Red,1
83,420,420,454,S6,S11,Red,1
92,420,420,454,S6,S11,Red,1
78,420,446,454,S10,S11,Red,1
196,420,446,454,S10,S11,Red,1
253,434,446,454,S10,S11,Red,1
37,420,420,454,S9,S15,Red,1
63,420,420,454,S9,S15,Red,1
90,420,420,454,S9,S15,Red,1
108,420,420,454,S9,S15,Red,1
158,420,420,457,S7,S13,Red,1
231,433,434,457,S9,S13,Red,1
237,433,441,460,S7,S10,Red,1
151,420,420,463,S9,S16,Red,1
240,433,446,465,S8,S11,Red,1
15,420,420,466,S7,S15,Red,1
163,420,420,466,S7,S15,Red,1
138,420,425,466,S8,S15,Red,1
195,420,434,466,S9,S15,Red,1
51,420,441,466,S10,S15,Red,1
67,420,457,466,S13,S15,Red,1
61,420,420,475,S5,S13,Red,1
250,433,446,475,S8,S13,Red,1
66,420,420,475,S6,S15,Red,1
47,420,454,475,S11,S15,Red,1
131,420,420,481,S5,S14,Red,1
202,425,433,481,S6,S14,Red,1
243,433,446,485,S8,S15,Red,1
305,441,454,485,S9,S15,Red,1
307,441,454,485,S9,S15,Red,1
69,420,465,485,S11,S15,Red,1
9,420,475,595,S9,S2,Red,2
79,420,475,595,S9,S2,Red,2
48,420,475,595,S15,S2,Red,2
21,420,601,723,S2,S3,Red,1
34,420,601,723,S2,S3,Red,1
85,420,601,723,S2,S3,Red,1
